env_label,sample_idx,rtt_ms
onprem-wan,0,77.728
onprem-wan,1,80.545
onprem-wan,2,80.489
onprem-wan,3,82.644
onprem-wan,4,158.398
onprem-wan,5,87.644
onprem-wan,6,75.098
onprem-wan,7,84.363
onprem-wan,8,83.537
onprem-wan,9,87.177
onprem-wan,10,84.676
onprem-wan,11,79.263
onprem-wan,12,81.245
onprem-wan,13,76.954
onprem-wan,14,76.010
onprem-wan,15,87.100
onprem-wan,16,77.590
onprem-wan,17,77.145
onprem-wan,18,75.700
onprem-wan,19,77.391
onprem-wan,20,82.363
onprem-wan,21,79.213
onprem-wan,22,74.775
onprem-wan,23,89.510
onprem-wan,24,87.117
onprem-wan,25,77.773
onprem-wan,26,81.323
onprem-wan,27,77.412
onprem-wan,28,74.284
onprem-wan,29,75.344
onprem-wan,30,88.811
onprem-wan,31,85.789
onprem-wan,32,81.512
onprem-wan,33,76.370
onprem-wan,34,86.256
onprem-wan,35,78.821
onprem-wan,36,76.309
onprem-wan,37,77.757
onprem-wan,38,87.831
onprem-wan,39,79.353
onprem-wan,40,78.492
onprem-wan,41,77.531
onprem-wan,42,71.738
onprem-wan,43,79.644
onprem-wan,44,72.511
onprem-wan,45,85.214
onprem-wan,46,78.648
onprem-wan,47,71.711
onprem-wan,48,87.408
onprem-wan,49,81.513
