env_label,sample_idx,rtt_ms
spoke-lan,0,0.523
spoke-lan,1,0.625
spoke-lan,2,0.778
spoke-lan,3,0.446
spoke-lan,4,1.135
spoke-lan,5,0.584
spoke-lan,6,0.523
spoke-lan,7,0.636
spoke-lan,8,0.559
spoke-lan,9,0.819
spoke-lan,10,0.474
spoke-lan,11,0.708
spoke-lan,12,0.462
spoke-lan,13,0.355
spoke-lan,14,0.503
spoke-lan,15,0.534
spoke-lan,16,0.408
spoke-lan,17,0.446
spoke-lan,18,0.407
spoke-lan,19,0.397
spoke-lan,20,0.406
spoke-lan,21,0.461
spoke-lan,22,0.391
spoke-lan,23,0.390
spoke-lan,24,0.380
spoke-lan,25,0.563
spoke-lan,26,0.329
spoke-lan,27,0.435
spoke-lan,28,0.440
spoke-lan,29,0.439
spoke-lan,30,0.562
spoke-lan,31,0.480
spoke-lan,32,0.496
spoke-lan,33,0.480
spoke-lan,34,0.374
spoke-lan,35,0.757
spoke-lan,36,0.639
spoke-lan,37,0.426
spoke-lan,38,0.657
spoke-lan,39,0.577
spoke-lan,40,0.647
spoke-lan,41,0.396
spoke-lan,42,0.397
spoke-lan,43,0.450
spoke-lan,44,0.423
spoke-lan,45,0.494
spoke-lan,46,0.646
spoke-lan,47,0.610
spoke-lan,48,0.447
spoke-lan,49,0.447
